secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon,hh,lc,hc,ll,accstd,upbound,lowbound,signal,mkt_val1,mkt_val2,max_drawdown,pos,trans,risk_ratio
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-06,P,L4,8186,8318,8318,8392,8252,8320,8350,740375,61608763260,381755,164,134,0.0200342,1,0,9080.0,8016.0,9004.0,7836.0,262.62143564746833,8551.6,8084.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-07,P,L4,8320,8350,8326,8474,8284,8358,8392,821121,68639283500,385276,72,38,0.00865385,1,0,9080.0,8016.0,9004.0,7836.0,260.57602463654155,8583.6,8116.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-08,P,L4,8358,8392,8426,8480,8268,8388,8442,889749,74636288720,412740,84,30,0.01005025,1,0,9080.0,8016.0,9004.0,7836.0,260.59912037161683,8625.6,8158.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-09,P,L4,8388,8442,8522,8594,8332,8454,8488,1025139,86669099380,403634,100,66,0.01192179,1,0,9080.0,8016.0,9004.0,7836.0,257.04681405413976,8675.6,8208.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-10,P,L4,8454,8488,8450,8522,8150,8344,8154,1241812,103632895960,395811,-300,-110,-0.03548616,1,0,9080.0,8016.0,9004.0,7836.0,257.21165184756455,8721.6,8254.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-13,P,L4,8344,8154,8154,8346,8132,8254,8268,829633,68491298700,376929,-76,-90,-0.00910834,1,0,9080.0,8016.0,9004.0,7836.0,256.78898850103275,8387.6,7920.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-14,P,L4,8254,8268,8280,8310,8158,8240,8278,788485,64978402300,378780,24,-14,0.00290768,1,0,9080.0,8016.0,9004.0,7836.0,257.0933383333444,8501.6,8034.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-15,P,L3,8240,8278,8306,8454,8214,8338,8442,988141,82395575500,404779,202,98,0.02451456,1,0,9080.0,8016.0,9004.0,7836.0,254.48862752284302,8511.6,8044.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-16,P,L3,8338,8442,8456,8652,8416,8524,8564,860190,73324575160,427741,226,186,0.02710482,1,0,9080.0,8016.0,9004.0,7836.0,250.4128898132325,8675.6,8208.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-17,P,L3,8524,8564,8516,8566,8160,8352,8190,1080889,90290374800,374469,-334,-172,-0.03918348,1,0,9080.0,8016.0,9004.0,7836.0,236.2156120679031,8797.6,8330.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-22,P,L3,8352,8190,8150,8390,8108,8268,8368,623892,51592579120,379099,16,-84,0.00191571,1,0,9080.0,8016.0,8908.0,7836.0,189.02932617412782,8404.4,7975.6,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-23,P,L3,8268,8368,8392,8670,8330,8478,8664,935638,79339210240,446356,396,210,0.0478955,1,0,8652.0,8016.0,8564.0,7836.0,130.90219484555348,8513.6,8222.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-24,P,L3,8478,8664,8666,8734,8524,8648,8706,821466,71043167700,474893,228,170,0.02689314,1,0,8670.0,8016.0,8664.0,7836.0,135.67674252257495,8829.6,8498.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-27,P,L3,8648,8706,8682,8756,8566,8664,8580,907757,78648493720,457031,-68,16,-0.00786309,1,0,8734.0,8016.0,8706.0,7836.0,152.21767814041897,8880.0,8532.0,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-28,P,L3,8664,8580,8580,8656,8408,8558,8650,818636,70063819620,437305,-14,-106,-0.00161588,1,0,8756.0,8016.0,8706.0,7836.0,169.7097068979358,8754.0,8406.0,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-29,P,L3,8558,8650,8640,8688,8508,8602,8614,772558,66458434880,424144,56,44,0.00654358,1,0,8756.0,8016.0,8706.0,7836.0,174.9588962717074,8824.0,8476.0,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-09-30,P,L3,8602,8614,8632,8910,8602,8780,8888,813786,71456024420,432045,286,178,0.03324808,1,0,8756.0,8016.0,8706.0,7836.0,174.68898076295108,8788.0,8440.0,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-08,P,L3,8780,8888,9346,9436,9248,9350,9410,600513,56151179220,442179,630,570,0.07175399,1,0,8910.0,8016.0,8888.0,7962.0,183.76131676296893,9073.2,8702.8,4,102037.5,96699.2275371,0.023844829235626135,2,2,0.20159255175793214
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-11,P,L3,9350,9410,9500,9662,9406,9500,9462,857933,81516111160,434727,112,150,0.01197861,1,0,9436.0,8016.0,9410.0,7962.0,260.25806128060094,9699.6,9120.4,-1,105032.5,96694.46710929999,0.0,2,0,0.19898602813414895
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-12,P,L3,9500,9462,9450,9558,9276,9414,9390,738288,69504340420,424857,-110,-86,-0.01157895,1,0,9662.0,8016.0,9462.0,7962.0,334.1098115198722,9791.2,9132.8,-1,103307.5,96689.2355303,0.016423487968009902,2,0,0.2004772160782131
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-13,P,L3,9414,9390,9350,9548,9092,9356,9484,1078022,100879527960,443887,70,-58,0.00743573,1,0,9662.0,8016.0,9462.0,7962.0,381.9792422874047,9719.2,9060.8,-1,102142.5,96684.3842449,0.02751529288553543,2,0,0.20151455075017746
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-14,P,L3,9356,9484,9526,9608,9184,9348,9282,989920,92554658680,394928,-74,-8,-0.00790936,1,0,9662.0,8016.0,9484.0,7962.0,413.7393084837522,9813.2,9154.8,-1,101977.5,96679.2260577,0.02908623521291029,2,0,0.20166801500330955
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-15,P,L3,9348,9282,9288,9442,9206,9326,9422,690253,64376591380,391299,74,-22,0.00791613,1,0,9662.0,8016.0,9484.0,7962.0,439.10342219642666,9611.2,8952.8,-1,101532.5,96674.38438029999,0.033323019065527336,2,0,0.2020751975968286
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-18,P,L3,9326,9422,9470,9654,9338,9502,9598,1000094,95041066240,401845,272,176,0.02916577,1,0,9662.0,8016.0,9484.0,7962.0,456.5890999069556,9751.2,9092.8,-1,105047.5,96669.96769569999,0.0,2,0,0.1989995002260882
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-19,P,L3,9502,9598,9556,9734,9488,9620,9716,850722,81842941020,411106,214,118,0.02252157,1,0,9662.0,8016.0,9598.0,7962.0,476.30656579075423,9927.2,9268.8,-1,107402.5,96665.41812709998,0.0,2,0,0.1970531412211075
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-20,P,L3,9620,9716,9680,9848,9470,9648,9814,943228,91020330420,419810,194,28,0.02016632,1,0,9734.0,8154.0,9716.0,8020.0,491.83534455531293,10055.2,9376.8,-1,106637.5,97820.41812709998,0.007122739228602687,0,-2,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-21,P,L3,9648,9814,9830,10106,9808,9982,9830,1009591,100784057460,408342,182,334,0.01886401,1,0,9848.0,8154.0,9814.0,8108.0,509.5306135590316,10155.2,9472.8,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-22,P,L2,9982,9830,9720,9792,9288,9530,9416,1294196,123350131120,337071,-566,-452,-0.05670206,1,0,10106.0,8154.0,9830.0,8108.0,550.3541573037631,10220.4,9439.6,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-25,P,L2,9530,9416,9470,9630,9362,9510,9580,875282,83244112960,348023,50,-20,0.00524659,1,0,10106.0,8154.0,9830.0,8108.0,555.7725489387209,9806.4,9025.6,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-26,P,L2,9510,9580,9602,9808,9544,9684,9702,929665,90045163100,358340,192,174,0.02018927,1,0,10106.0,8154.0,9830.0,8108.0,557.7722336360796,9970.4,9189.6,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-27,P,L2,9684,9702,9696,9736,9486,9632,9578,999548,96291524040,359575,-106,-52,-0.01094589,1,0,10106.0,8154.0,9830.0,8108.0,566.4876290318707,10092.4,9311.6,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-28,P,L2,9632,9578,9574,9580,9256,9440,9442,1312414,123893062300,338165,-190,-192,-0.01972591,1,0,10106.0,8190.0,9830.0,8108.0,563.766694789469,9961.2,9194.8,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-10-29,P,L2,9440,9442,9472,9774,9460,9600,9770,969922,93122457240,376715,330,160,0.03495763,1,0,10106.0,8190.0,9830.0,8108.0,545.0769712759663,9825.2,9058.8,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-11-01,P,L2,9600,9770,9748,9814,9568,9714,9574,997192,96884708940,384559,-26,114,-0.00270833,1,0,10106.0,8190.0,9830.0,8108.0,525.3188160170301,10153.2,9386.8,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-11-02,P,L2,9714,9574,9632,9778,9474,9670,9686,989931,95732032000,376250,-28,-44,-0.00288244,1,0,10106.0,8190.0,9830.0,8108.0,510.33183171494824,9957.2,9190.8,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-11-03,P,L2,9670,9686,9716,9966,9586,9760,9940,912863,89110301480,399013,270,90,0.02792141,1,0,10106.0,8190.0,9830.0,8108.0,499.5743172557355,10069.2,9302.8,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
P2201.XDCE,p2201,XDCE,连棕油2201,RBD Palm Olein 2201,2021-11-04,P,L2,9760,9940,9932,9940,9494,9710,9514,928260,90137155680,350243,-246,-50,-0.02520492,1,0,10106.0,8368.0,9940.0,8108.0,475.47456455467454,10306.4,9573.6,-1,106637.5,97820.41812709998,0.007122739228602687,0,0,0.0
